
overseersSpawnChance: 0.5
overseersColorOverride(0.7, 0.6, 1): 0.8
overseersMin: 0
overseersMax: 8
playerGuideOverseerSpawnChance: 0.5
guideColor: 0.7, 0.6, 1
pupSpawnChance: 0.3
corruptionEffectColor: 0.2,0.4,0.6
corruptionEyeColor: 0.2,0.4,0.6
Room Setting Templates: outside, inside, summit, rot, mines
Subregion: Cliffside
Subregion: Bygone Mineshaft
Subregion: Summit of Mistakes
Subregion: Undersea Tunnel
Room_Attr: GATE_LI_NG: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_S1: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: GATE_LI_WK: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_WALL1: CyanLizard-Like,Centiwing-Like,MirosVulture-Forbidden,
Room_Attr: LI_DEPOT: YellowLizard-Avoid,Scavenger-Avoid,Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_PREWK: YellowLizard-Stay,Scavenger-Avoid,Vulture-Forbidden,SpitterSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_WALLCRASH: MirosVulture-Forbidden,
Room_Attr: LI_test: BigSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_S2: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_MINESHAFT1: Scavenger-Avoid,Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_DUMP1: BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,MirosVulture-Avoid,MotherSpider-Forbidden,
Room_Attr: LI_DUMPTRAIN: Scavenger-Forbidden,DaddyLongLegs-Stay,ScavengerElite-Avoid,
Room_Attr: LI_SUMMIT: Scavenger-Forbidden,Vulture-Forbidden,BrotherLongLegs-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LI_DUMPTRAIN2: Scavenger-Forbidden,BrotherLongLegs-Avoid,ScavengerElite-Avoid,
Room_Attr: LI_BIGSHAFTTOP: Scavenger-Avoid,Vulture-Forbidden,BrotherLongLegs-Forbidden,MirosVulture-Forbidden,MotherSpider-Like,ScavengerElite-Avoid,
Room_Attr: LI_DUMPUNDER1: Scavenger-Forbidden,Vulture-Forbidden,BrotherLongLegs-Avoid,MirosVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: LI_DUMPUNDER2: Scavenger-Forbidden,Vulture-Forbidden,MirosVulture-Forbidden,MotherSpider-Forbidden,ScavengerElite-Avoid,
Room_Attr: LI_DUMP2: Scavenger-Forbidden,MotherSpider-Forbidden,ScavengerElite-Avoid,
Room_Attr: LI_CLIFF2: MirosVulture-Forbidden,
Room_Attr: LI_CLIFF1: MirosVulture-Forbidden,
Room_Attr: LI_MINETOP1: Scavenger-Like,DaddyLongLegs-Forbidden,MirosVulture-Avoid,MotherSpider-Forbidden,
Room_Attr: LI_MINEPIT: Scavenger-Like,Vulture-Avoid,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,MirosVulture-Forbidden,MotherSpider-Forbidden,ScavengerElite-Like,
Room_Attr: LI_TRAINWALL1: Scavenger-Like,MirosVulture-Forbidden,
Room_Attr: LI_TRAINWALL2: YellowLizard-Avoid,SpitterSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_CONTROLROOM: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_WALLBRIDGE: MirosVulture-Forbidden,
Room_Attr: LI_BIGWALL: YellowLizard-Stay,CyanLizard-Like,Centiwing-Like,MirosVulture-Forbidden,
Room_Attr: LI_A02: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_S3: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_D03: MirosVulture-Forbidden,
Room_Attr: LI_S4: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_BIGSHAFT1: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_LEG1: Scavenger-Avoid,Vulture-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,BrotherLongLegs-Stay,MirosVulture-Forbidden,Eel-Forbidden,
Room_Attr: LI_FAKEGATE: Scavenger-Avoid,Vulture-Forbidden,MirosVulture-Forbidden,Eel-Forbidden,
Room_Attr: LI_LEG3: Scavenger-Avoid,Vulture-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,BrotherLongLegs-Forbidden,MirosVulture-Forbidden,Eel-Like,
Room_Attr: LI_S5: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_S6: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_LEG2: Scavenger-Avoid,Vulture-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: GATE_WK_LI: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_ROCKHAVEN: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_LEG4: Scavenger-Avoid,Vulture-Forbidden,BrotherLongLegs-Forbidden,MirosVulture-Forbidden,Eel-Forbidden,
Room_Attr: LI_LEG6: Scavenger-Avoid,Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_C03: Vulture-Forbidden,BrotherLongLegs-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_LEG9: Scavenger-Avoid,Vulture-Avoid,SpitterSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_LEG5: Scavenger-Avoid,Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_F03: YellowLizard-Stay,BigSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_C04: MirosVulture-Avoid,
Room_Attr: LI_C05: MirosVulture-Avoid,
Room_Attr: LI_LEG8: Scavenger-Avoid,SpitterSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_WALL2: BigSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_LEG7: Scavenger-Avoid,Vulture-Forbidden,SpitterSpider-Like,MirosVulture-Forbidden,
Room_Attr: LI_S8: Vulture-Forbidden,SpitterSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_TRAIN1: Vulture-Forbidden,Centipede-Forbidden,BigSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: GATE_MF_LI: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_TRAIN3: Vulture-Avoid,Centipede-Forbidden,BigSpider-Avoid,MirosVulture-Forbidden,
Room_Attr: LI_B04: MirosVulture-Forbidden,
Room_Attr: LI_A08: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A12: BigSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_DUMP3: Scavenger-Forbidden,DaddyLongLegs-Forbidden,
Room_Attr: LI_DUMP4: Scavenger-Forbidden,BrotherLongLegs-Avoid,
Room_Attr: LI_B01: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A09: Scavenger-Avoid,Vulture-Forbidden,
Room_Attr: LI_D01: BigSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_C01: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B07: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_C07: Vulture-Forbidden,MirosVulture-Forbidden,Eel-Like,
Room_Attr: LI_D06: BlackLizard-Stay,Vulture-Forbidden,MirosVulture-Forbidden,Eel-Like,
Room_Attr: LI_DUMP5: Scavenger-Forbidden,BrotherLongLegs-Forbidden,
Room_Attr: LI_DUMP6: Scavenger-Forbidden,Vulture-Avoid,BrotherLongLegs-Forbidden,
Room_Attr: LI_F04: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A13: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_F01: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A01: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A03: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B02: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A14: Scavenger-Like,Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_S9: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_DUMPUNDER3: Scavenger-Forbidden,Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_C06: Scavenger-Like,Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B08: Scavenger-Like,Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A15: Scavenger-Stay,Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_ECHO: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B09: Scavenger-Like,Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_C02: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A04: MirosVulture-Forbidden,
Room_Attr: LI_SCAV: Vulture-Forbidden,MirosVulture-Forbidden,MotherSpider-Forbidden,
Room_Attr: LI_E01: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_D04: Scavenger-Stay,Vulture-Forbidden,MirosVulture-Forbidden,ScavengerElite-Stay,
Room_Attr: LI_C08: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A16: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A17: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_TEMPGATE: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_S7: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A11: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_C09: Scavenger-Avoid,Vulture-Forbidden,MirosVulture-Forbidden,MotherSpider-Avoid,
Room_Attr: LI_TRAIN2: Vulture-Forbidden,Centipede-Avoid,MirosVulture-Forbidden,
Room_Attr: LI_B10: Vulture-Avoid,BigSpider-Avoid,MirosVulture-Forbidden,
Room_Attr: LI_C10: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B11: Vulture-Forbidden,BigSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_TRAIN4: Vulture-Avoid,BigSpider-Avoid,MirosVulture-Forbidden,
Room_Attr: LI_B12: BigSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_C11: Centipede-Forbidden,BigSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A06: MirosVulture-Forbidden,
Room_Attr: LI_D02: MirosVulture-Forbidden,
Room_Attr: LI_A05: MirosVulture-Forbidden,
Room_Attr: LI_TRAIN2.5: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A18: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B15: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_D08: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B14: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_S10: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_D09: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B16: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_E02: Vulture-Avoid,BigSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B13: Centipede-Forbidden,BigSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_S11: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_C14: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_C13: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_D10: Vulture-Avoid,BigSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B05: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_D05: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B06: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_G01: Vulture-Forbidden,MirosVulture-Forbidden,
